,scale1,scale2,scale3,scale4,scale5,scale6,scale7,scale8,scale9,scale10,scale11,scale12,scale13,scale14,scale15
1,2,1,-1,-1,-2,-1,2,1,2,0,0,1,-1,-2,1
2,2,2,1,0,-1,1,-1,2,-1,1,-1,-1,1,0,-1
3,1,2,0,-1,-1,1,1,1,2,0,-1,1,-2,-1,-2
4,0,2,2,0,-2,1,-2,2,-1,1,-1,0,1,2,-2
5,2,0,1,-1,1,-1,1,2,1,2,0,1,-1,-1,0
6,2,2,1,2,0,-1,0,1,0,1,1,1,1,1,0
7,2,2,1,1,-1,1,0,-1,2,-2,-1,-1,1,1,-1
8,1,-1,-2,0,1,-2,1,0,2,-1,1,1,-1,-1,2
9,1,-1,0,-1,1,-1,0,-1,1,-1,1,0,-1,-1,1
10,2,1,1,-1,0,-1,2,1,1,1,-1,-1,1,1,1
11,2,2,2,1,-1,1,0,2,1,1,-2,-1,1,2,-1
12,1,2,1,0,-2,1,-1,1,2,1,-1,-1,1,0,0
13,2,1,1,0,-1,-1,1,-1,1,0,1,1,-1,-1,0
14,2,2,1,1,1,1,1,2,2,0,-1,-1,1,2,-1
15,-1,-1,0,-1,-1,1,-1,2,-1,2,-1,1,-1,0,-2
16,1,2,2,1,0,1,-1,1,2,1,1,1,1,0,-1
17,2,2,1,1,0,1,1,-1,1,-2,-1,-2,2,1,0
18,1,2,1,1,-1,0,-1,1,2,-1,-1,-1,0,1,-2
19,2,1,-1,-1,0,-2,2,-2,1,-2,1,1,0,-1,1
20,-1,-1,-1,1,0,-1,-2,-1,1,1,1,0,-1,-2,-1
